uid,org,work_location,certification,issue_date,type
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Executive,2020-09-17,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-04-26,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Quantum Conversations,2020-01-01,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2019-09-25,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-22,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Faculty Academy Instructor,2017-10-18,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-07-12,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Global Sales School,2017-05-01,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blockchain Essentials for Developers,2017-04-24,badge
073296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Supply Chain Management Professional Certification (SCMP) Thought Leader,2008-12-31,badge
079916781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Pak for Business Automation - Tech Jam,2022-06-28,badge
079916781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-10-10,badge
079916781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-11-02,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-09-01,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2017-10-14,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2018-11-30,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",License to Lead - Senior Manager,2023-01-04,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Methodology Explorer,2021-10-01,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Mentor,2021-05-10,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-09-14,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2020-03-21,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-02-03,badge
